Survived,Pclass,SibSp,Parch,Fare,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S,"Categorized_age_(0, 10]","Categorized_age_(10, 20]","Categorized_age_(20, 30]","Categorized_age_(30, 40]","Categorized_age_(40, 50]","Categorized_age_(50, 60]","Categorized_age_(60, 70]","Categorized_age_(70, 80]"
0,3,1,0,0.8603380065709937,0,1,0,0,1,0,0,1,0,0,0,0,0
1,1,1,0,1.8529877967894248,1,0,1,0,0,0,0,0,1,0,0,0,0
1,3,0,0,0.8989992708897891,1,0,0,0,1,0,0,1,0,0,0,0,0
1,1,1,0,1.725094521081469,1,0,0,0,1,0,0,0,1,0,0,0,0
0,3,0,0,0.9057958803678685,0,1,0,0,1,0,0,0,1,0,0,0,0
0,3,0,0,0.927283084692887,0,1,0,1,0,0,0,0,0,0,0,0,0
0,1,0,0,1.7148534478370294,0,1,0,0,1,0,0,0,0,0,1,0,0
0,3,3,1,1.32376758329678,0,1,0,0,1,1,0,0,0,0,0,0,0
1,3,0,2,1.0466239118070755,1,0,0,0,1,0,0,1,0,0,0,0,0
1,2,1,0,1.4781449821731452,1,0,1,0,0,0,1,0,0,0,0,0,0
1,3,1,1,1.2227164711475833,1,0,0,0,1,1,0,0,0,0,0,0,0
1,1,0,0,1.424064525417488,1,0,0,0,1,0,0,0,0,0,1,0,0
0,3,0,0,0.9057958803678685,0,1,0,0,1,0,1,0,0,0,0,0,0
0,3,1,5,1.4951973183654574,0,1,0,0,1,0,0,0,1,0,0,0,0
0,3,0,0,0.8951019559858993,1,0,0,0,1,0,1,0,0,0,0,0,0
1,2,0,0,1.2041199826559248,1,0,0,0,1,0,0,0,0,0,1,0,0
0,3,4,1,1.4642659340340753,0,1,0,1,0,1,0,0,0,0,0,0,0
1,2,0,0,1.1139433523068367,0,1,0,0,1,0,0,0,0,0,0,0,0
0,3,1,0,1.255272505103306,1,0,0,0,1,0,0,0,1,0,0,0,0
1,3,0,0,0.8588378514285855,1,0,1,0,0,0,0,0,0,0,0,0,0
0,2,0,0,1.414973347970818,0,1,0,0,1,0,0,0,1,0,0,0,0
1,2,0,0,1.1139433523068367,0,1,0,0,1,0,0,0,1,0,0,0,0
1,3,0,0,0.9046722759270557,1,0,0,1,0,0,1,0,0,0,0,0,0
1,1,0,0,1.550228353055094,0,1,0,0,1,0,0,1,0,0,0,0,0
0,3,3,1,1.32376758329678,1,0,0,0,1,1,0,0,0,0,0,0,0
1,3,1,5,1.4967567257209788,1,0,0,0,1,0,0,0,1,0,0,0,0
0,3,0,0,0.8588378514285855,0,1,1,0,0,0,0,0,0,0,0,0,0
0,1,3,2,2.419955748489758,0,1,0,0,1,0,1,0,0,0,0,0,0
1,3,0,0,0.8964821244409461,1,0,0,1,0,0,0,0,0,0,0,0,0
0,3,0,0,0.8973961391554461,0,1,0,0,1,0,0,0,0,0,0,0,0
0,1,0,0,1.442805759510192,0,1,1,0,0,0,0,0,1,0,0,0,0
1,1,1,0,2.165899281236276,1,0,1,0,0,0,0,0,0,0,0,0,0
1,3,0,0,0.8893017025063102,1,0,0,1,0,0,0,0,0,0,0,0,0
0,2,0,0,1.021189299069938,0,1,0,0,1,0,0,0,0,0,0,1,0
0,1,1,0,1.9147175152064853,0,1,1,0,0,0,0,1,0,0,0,0,0
0,1,1,0,1.7160033436347992,0,1,0,0,1,0,0,0,0,1,0,0,0
1,3,0,0,0.8590902399212491,0,1,1,0,0,0,0,0,0,0,0,0,0
0,3,0,0,0.9057958803678685,0,1,0,0,1,0,0,1,0,0,0,0,0
0,3,2,0,1.255272505103306,1,0,0,0,1,0,1,0,0,0,0,0,0
1,3,1,0,1.0508319913747257,1,0,1,0,0,0,1,0,0,0,0,0,0
0,3,1,0,0.9765792186401099,1,0,0,0,1,0,0,0,1,0,0,0,0
0,2,1,0,1.3222192947339193,1,0,0,0,1,0,0,1,0,0,0,0,0
0,3,0,0,0.8973961391554461,0,1,1,0,0,0,0,0,0,0,0,0,0
1,2,1,2,1.6188761290808784,1,0,1,0,0,1,0,0,0,0,0,0,0
1,3,0,0,0.8964821244409461,1,0,0,1,0,0,1,0,0,0,0,0,0
0,3,0,0,0.9057958803678685,0,1,0,0,1,0,0,0,0,0,0,0,0
0,3,1,0,1.1903316981702914,0,1,0,1,0,0,0,0,0,0,0,0,0
1,3,0,0,0.8893017025063102,1,0,0,1,0,0,0,0,0,0,0,0,0
0,3,2,0,1.3360432519440277,0,1,1,0,0,0,0,0,0,0,0,0,0
0,3,1,0,1.250420002308894,1,0,0,0,1,0,1,0,0,0,0,0,0
0,3,4,1,1.598653742636051,0,1,0,0,1,1,0,0,0,0,0,0,0
0,3,0,0,0.8920946026904804,0,1,0,0,1,0,0,1,0,0,0,0,0
1,1,1,0,1.8849606701491657,1,0,1,0,0,0,0,0,0,1,0,0,0
1,2,1,0,1.414973347970818,1,0,0,0,1,0,0,1,0,0,0,0,0
0,1,0,1,1.79224596625906,0,1,1,0,0,0,0,0,0,0,0,1,0
1,1,0,0,1.550228353055094,0,1,0,0,1,0,0,0,0,0,0,0,0
1,2,0,0,1.021189299069938,1,0,0,0,1,0,0,1,0,0,0,0,0
0,3,0,0,0.8590902399212491,0,1,1,0,0,0,0,1,0,0,0,0,0
1,2,1,2,1.443262987458695,1,0,0,0,1,1,0,0,0,0,0,0,0
0,3,5,2,1.6711728427150832,0,1,0,0,1,0,1,0,0,0,0,0,0
0,3,0,0,0.8590902399212491,0,1,1,0,0,0,0,1,0,0,0,0,0
1,1,0,0,1.9030899869919435,1,0,0,0,0,0,0,0,1,0,0,0,0
0,1,1,0,1.9215564277264083,0,1,0,0,1,0,0,0,0,1,0,0,0
0,3,3,2,1.4456042032735976,0,1,0,0,1,1,0,0,0,0,0,0,0
0,1,0,0,1.442805759510192,0,1,1,0,0,0,0,0,0,0,0,0,0
1,3,1,1,1.183150218236971,0,1,1,0,0,0,0,0,0,0,0,0,0
1,2,0,0,1.021189299069938,1,0,0,0,1,0,0,1,0,0,0,0,0
0,3,0,0,0.9115996713106953,0,1,0,0,1,0,1,0,0,0,0,0,0
1,3,4,2,0.8989992708897891,1,0,0,0,1,0,1,0,0,0,0,0,0
0,3,2,0,0.9376432476198632,0,1,0,0,1,0,0,1,0,0,0,0,0
0,2,0,0,1.021189299069938,0,1,0,0,1,0,0,0,1,0,0,0,0
0,3,5,2,1.6711728427150832,1,0,0,0,1,0,1,0,0,0,0,0,0
0,2,0,0,1.866287339084195,0,1,0,0,1,0,0,1,0,0,0,0,0
0,3,1,0,1.1599940596732181,0,1,1,0,0,0,0,1,0,0,0,0,0
1,3,0,0,1.752016162781856,0,1,0,0,1,0,0,0,1,0,0,0,0
0,3,0,0,0.8836614351536176,0,1,0,0,1,0,0,1,0,0,0,0,0
0,3,0,0,0.8973961391554461,0,1,0,0,1,0,0,0,0,0,0,0,0
0,3,0,0,0.9057958803678685,0,1,0,0,1,0,0,0,0,0,0,0,0
1,2,0,2,1.462397997898956,0,1,0,0,1,1,0,0,0,0,0,0,0
1,3,0,0,1.0960405542954275,1,0,0,0,1,0,0,1,0,0,0,0,0
0,3,0,0,0.9542425094393249,0,1,0,0,1,0,0,1,0,0,0,0,0
1,3,0,0,0.9777236052888477,0,1,0,0,1,0,0,1,0,0,0,0,0
1,3,0,0,0.891398059667226,1,0,0,1,0,0,0,0,0,0,0,0,0
0,1,0,0,1.6730209071288962,0,1,0,0,1,0,0,1,0,0,0,0,0
1,2,0,0,1.021189299069938,1,0,0,0,1,0,1,0,0,0,0,0,0
1,3,3,0,1.2000292665537702,1,0,0,0,1,0,0,0,1,0,0,0,0
0,3,1,3,1.536242706838319,0,1,0,0,1,0,1,0,0,0,0,0,0
0,3,0,0,0.9057958803678685,0,1,0,0,1,0,0,0,0,0,0,0,0
1,1,3,2,2.419955748489758,1,0,0,0,1,0,0,1,0,0,0,0,0
0,3,0,0,0.9057958803678685,0,1,0,0,1,0,0,1,0,0,0,0,0
0,3,0,0,0.9057958803678685,0,1,0,0,1,0,0,1,0,0,0,0,0
0,3,0,0,0.8951019559858993,0,1,0,0,1,0,1,0,0,0,0,0,0
0,1,1,0,1.7865739780238268,0,1,0,0,1,0,0,0,0,1,0,0,0
0,3,1,2,1.3133398438843074,0,1,0,0,1,0,0,1,0,0,0,0,0
0,3,0,0,0.8603380065709937,0,1,0,0,1,0,0,0,0,0,1,0,0
0,3,0,0,0.9057958803678685,0,1,0,0,1,0,0,0,0,0,0,0,0
0,1,0,0,1.5397558775130562,0,1,1,0,0,0,0,0,0,0,0,0,1
1,1,0,1,1.801803515953217,0,1,1,0,0,0,0,1,0,0,0,0,0
1,2,0,1,1.3617278360175928,1,0,0,0,1,0,0,0,1,0,0,0,0
0,2,1,0,1.414973347970818,0,1,0,0,1,0,0,0,1,0,0,0,0
0,3,0,0,0.8973961391554461,1,0,0,0,1,0,0,1,0,0,0,0,0
0,3,0,0,0.8973961391554461,0,1,0,0,1,0,0,0,0,0,0,0,0
0,1,0,1,1.8881092595069318,0,1,0,0,1,0,0,1,0,0,0,0,0
0,3,0,0,0.9372269275963212,0,1,0,0,1,0,0,0,1,0,0,0,0
0,3,2,0,0.8989992708897891,0,1,0,0,1,0,0,0,1,0,0,0,0
0,3,0,0,0.8973961391554461,0,1,0,0,1,0,0,1,0,0,0,0,0
1,3,0,0,0.8836614351536176,1,0,0,0,1,0,0,1,0,0,0,0,0
1,3,0,0,0.8907003976988751,0,1,0,0,1,0,0,0,0,0,0,0,0
0,3,0,0,0.8973961391554461,0,1,0,0,1,0,0,0,1,0,0,0,0
1,3,1,0,1.382917135087531,1,0,0,1,0,0,0,0,0,0,0,0,0
0,1,0,0,1.7160033436347992,0,1,0,0,1,0,0,0,0,1,0,0,0
0,3,1,0,1.1599940596732181,1,0,1,0,0,0,1,0,0,0,0,0,0
0,3,0,0,0.9057958803678685,0,1,0,0,1,0,0,1,0,0,0,0,0
0,3,1,0,0.9923325590474643,1,0,0,0,1,0,1,0,0,0,0,0,0
0,3,0,0,1.160117231822824,1,0,1,0,0,0,1,0,0,0,0,0,0
0,3,0,0,0.8989992708897891,0,1,0,0,1,0,0,1,0,0,0,0,0
0,3,0,0,0.8893017025063102,0,1,0,1,0,0,0,0,0,0,0,0,1
0,2,1,0,1.3222192947339193,0,1,0,0,1,0,0,1,0,0,0,0,0
0,1,0,1,2.39361170001974,0,1,1,0,0,0,0,1,0,0,0,0,0
0,3,4,2,1.4951973183654574,1,0,0,0,1,1,0,0,0,0,0,0,0
0,2,2,0,1.866287339084195,0,1,0,0,1,0,0,1,0,0,0,0,0
0,3,0,0,0.9057958803678685,0,1,0,0,1,0,0,0,0,0,0,0,0
0,2,1,0,1.4781449821731452,0,1,1,0,0,0,0,0,1,0,0,0,0
1,2,0,0,1.1139433523068367,1,0,0,0,1,0,0,0,1,0,0,0,0
0,1,0,1,1.8881092595069318,0,1,0,0,1,0,0,0,0,0,1,0,0
